Unnamed: 0,id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,under_pressure,related_events,match_id,possession_team_id,team_id,player_id,foul_won_advantage,foul_won_penalty,foul_won_defensive,off_camera
1154,0be49495-c960-4111-a7c5-ab15a1f90226,1988,1,00:46:00.369,46,0,Foul Won,60,Serbia,Regular Play,Serbia,Filip Mladenović,Left Wing Back,"[63.5, 20.6]",0.0,1.0,"['d9b01602-452e-48e3-b631-84cb68b76f7a', 'dc999a9f-28f9-4814-a599-c6f463c8b4fa']",3930163,786,786,7993,,,,
1155,bd365f78-1654-4004-a668-d2f4752e8e7f,2116,2,00:01:18.036,46,18,Foul Won,63,Serbia,From Kick Off,Serbia,Aleksandar Mitrović,Left Center Forward,"[73.7, 70.4]",0.0,1.0,"['7bd31fef-111f-4b93-9af4-6a546dd7ecff', 'b1a41c70-04c2-44e0-8a1b-c702b0394b3e']",3930163,786,786,4269,1.0,,,
1156,d249e584-9b7c-46a3-b194-b25ab4bbad1f,2343,2,00:05:00.666,50,0,Foul Won,73,England,Regular Play,England,Phil Foden,Left Wing,"[34.1, 38.9]",0.0,1.0,"['8c72518a-7f29-4b62-840c-57a99df04821', 'c38f9eb7-6065-4670-b821-9c577fb7d232']",3930163,768,768,4354,1.0,,,
1157,dbcec41f-caca-45b5-90e2-497d8f04d71f,2386,2,00:05:30.306,50,30,Foul Won,74,Serbia,Regular Play,Serbia,Strahinja Pavlović,Left Center Back,"[78.5, 12.9]",0.0,1.0,['0024e574-786f-4616-8a95-902509d63140'],3930163,786,786,27719,1.0,,,
1158,bbf59e44-b50a-4b75-9a75-37382894f47c,2582,2,00:09:47.192,54,47,Foul Won,80,England,From Goal Kick,England,Harry Kane,Center Forward,"[49.3, 57.2]",0.0,1.0,['84025b63-55e4-4943-bdd0-534542b5dd00'],3930163,768,768,10955,,,,
1159,56dd9431-8250-401e-9bcc-ad3d7f56e2dd,2834,2,00:16:19.237,61,19,Foul Won,87,England,Regular Play,England,Harry Kane,Center Forward,"[47.4, 60.5]",0.0,1.0,"['3c43c416-351e-4fc7-9b64-e30116d90dff', '481878b6-f7d4-4a76-adea-3b0bbc2fa557']",3930163,768,768,10955,,,,
1160,b0bdbf52-421e-4c66-8354-95b65f023233,2860,2,00:17:00.354,62,0,Foul Won,89,Serbia,Regular Play,Serbia,Filip Mladenović,Left Wing Back,"[68.6, 4.2]",0.0,1.0,['9dcae50f-181b-45bf-813a-f592055bfd60'],3930163,786,786,7993,,,1.0,
1161,02d211a4-52d5-4e7a-98d9-a7d38bfa06cc,3015,2,00:20:15.103,65,15,Foul Won,92,England,From Counter,England,Harry Kane,Center Forward,"[75.3, 25.4]",0.0,1.0,['d1ce97f6-b362-484c-a615-e7382a95034d'],3930163,768,768,10955,,,,
1162,d334fab5-5db5-4dda-8aac-8c1b8bad5a3a,3137,2,00:25:30.985,70,30,Foul Won,99,England,From Goal Kick,England,Harry Kane,Center Forward,"[82.5, 10.0]",0.0,1.0,['6a0654d9-e370-4a07-8eb9-9906eb3bedfb'],3930163,768,768,10955,,,,
1163,9a956b05-90f7-45c0-a3d5-8b66ae6e5f33,3244,2,00:28:20.475,73,20,Foul Won,103,England,From Throw In,Serbia,Dušan Tadić,Center Attacking Midfield,"[46.0, 46.8]",0.0,1.0,['07a74737-f0d5-42a5-a034-4c0b43e01b3a'],3930163,768,786,3831,,,1.0,
1164,5c6a4030-dbc0-462f-8748-24ba2bd05c03,3271,2,00:29:22.468,74,22,Foul Won,105,England,Regular Play,England,Phil Foden,Left Wing,"[69.7, 2.9]",0.0,1.0,['34f25ff2-ce15-4012-94f9-cca9cd4d2afc'],3930163,768,768,4354,,,,
1165,e98671ef-29ee-4f4f-bf52-4166eb1eb385,3290,2,00:30:55.331,75,55,Foul Won,106,England,From Free Kick,England,Conor Gallagher,Right Defensive Midfield,"[78.4, 68.8]",0.0,1.0,['07746fc9-0c00-486d-b8e6-9521c76d4156'],3930163,768,768,29399,,,1.0,
1166,f25cb6f3-7603-4728-a9a4-42e9f8358855,3435,2,00:35:39.015,80,39,Foul Won,112,Serbia,From Throw In,Serbia,Ivan Ilić,Right Defensive Midfield,"[41.8, 43.8]",0.0,1.0,['28f8b401-e3df-41e7-bfe6-ab901770fbee'],3930163,786,786,30179,,,1.0,
1167,9b86be94-f296-42b8-9108-871776a6e883,3487,2,00:37:20.673,82,20,Foul Won,114,Serbia,From Corner,England,Kieran Trippier,Left Back,"[7.4, 52.4]",0.0,1.0,['579226fc-f2fb-4d6f-81e2-122cb9bdc06f'],3930163,786,768,3308,,,1.0,
1168,082c4f87-bad4-4261-b5da-1f97e79854e9,3505,2,00:38:16.970,83,16,Foul Won,116,Serbia,Regular Play,England,Jarrod Bowen,Right Wing,"[55.8, 66.7]",0.0,1.0,"['24489f51-934a-42b5-bd1c-ff2503b319ba', 'ce59a2f5-a65b-433a-9caa-801eef870d46']",3930163,786,768,9640,1.0,,1.0,
1169,75136eff-d070-4e1f-818a-33cd42aa1fdd,3592,2,00:40:01.056,85,1,Foul Won,121,England,Regular Play,England,Harry Kane,Center Forward,"[49.8, 35.2]",0.0,1.0,['15a95be9-954a-4cb6-b710-3bc7a2c8b658'],3930163,768,768,10955,,,,
1170,fd27dd8d-8b05-4976-a140-1ad8ddcd48a6,3617,2,00:41:31.571,86,31,Foul Won,122,England,From Free Kick,Serbia,Dušan Tadić,Center Attacking Midfield,"[68.9, 48.9]",0.0,1.0,['ae31fd1f-089a-4e3c-be25-532719bf4c2c'],3930163,768,786,3831,,,1.0,
1171,52c88f92-f9c1-4081-b30f-0ba96fe65856,3643,2,00:42:08.913,87,8,Foul Won,123,Serbia,From Free Kick,England,Phil Foden,Left Midfield,"[48.7, 15.2]",0.0,1.0,['66538cc6-749a-49c1-aff8-d8c603b4b5ff'],3930163,786,768,4354,,,,
1172,59056ff9-26c5-473e-a775-2e8dd7c9ba10,3731,2,00:44:05.376,89,5,Foul Won,127,England,From Goal Kick,England,Harry Kane,Center Forward,"[75.0, 27.1]",0.0,1.0,"['ad93e8ab-b247-4898-9b6f-944cce8776ff', 'fe3c0f77-c99a-4c7f-afe1-9fbfe9b2a14a']",3930163,768,768,10955,1.0,,,
1173,cce9178d-aa49-4cf8-bbbc-0e0d6dd29549,3817,2,00:45:28.284,90,28,Foul Won,128,England,From Throw In,England,Conor Gallagher,Right Center Midfield,"[68.9, 71.3]",0.0,1.0,['5a171397-66ad-4fcb-ae65-68d24b11cbca'],3930163,768,768,29399,,,,
1174,9f634f64-7e1b-4eab-a84c-9e3706a0359c,3833,2,00:46:04.961,91,4,Foul Won,129,England,From Free Kick,England,Conor Gallagher,Right Center Midfield,"[78.1, 28.5]",0.0,1.0,['7b891441-a4be-4bc8-9890-ed13e093415b'],3930163,768,768,29399,,,,
1175,7e3fd02f-884c-4820-9f59-67fad2fb6897,3909,2,00:48:15.079,93,15,Foul Won,134,England,Regular Play,England,Jarrod Bowen,Right Midfield,"[40.7, 71.7]",0.0,1.0,['de63e8dc-137a-425b-8705-700ee7556037'],3930163,768,768,9640,,,,
